candidate_id,repo_id,instruction_file,extracted_reference,resolved_path,extraction_rule,confidence,current_status,historical_existence,misguidance_category,resolution_status,first_seen_commit,first_seen_date,last_seen_commit,last_seen_date,deleted_commit,deleted_date,path_lifetime_days,history_path_used,history_quality,rename_from,rename_to,auto_drift_category,heuristic_likely_drift,heuristic_likely_artifact,section_heading,context_line_number,context_excerpt
DC020,payloadcms/payload,CLAUDE.md,packages/db-*,packages/db-*,explicit_path,medium,stale,existed_before,stale_path,not_in_head,1d6d105da6eace5725eb05212deb68c8e775efec,2026-06-09,6ed9b8507aa83613d2bbde8534241db886949f34,2026-06-11,03f81aea98bfb78bb1be43a3c3e6980b1d03fc9a,2026-05-18,0,packages/db-*,uncertain,,,unknown,no,yes,Key Directories,15,"  10| 
  11| - `packages/` - All publishable packages
  12|   - `packages/payload` - Core Payload package containing the main CMS logic
  13|   - `packages/ui` - Admin UI components (React Server Components)
  14|   - `packages/next` - Next.js integration layer
  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)"
DC021,payloadcms/payload,CLAUDE.md,packages/richtext-*,packages/richtext-*,code_span,medium,stale,existed_before,stale_path,not_in_head,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,47f74f491b1d8ec73fdd8bc17791b453f0c22b51,2026-06-11,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,0,packages/richtext-*,uncertain,,,unknown,no,yes,Key Directories,18,"  13|   - `packages/ui` - Admin UI components (React Server Components)
  14|   - `packages/next` - Next.js integration layer
  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations"
DC022,payloadcms/payload,CLAUDE.md,packages/richtext-*,packages/richtext-*,explicit_path,medium,stale,existed_before,stale_path,not_in_head,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,47f74f491b1d8ec73fdd8bc17791b453f0c22b51,2026-06-11,d4944285af6d9453bbb9187c2541efff0f2f61ce,2026-06-05,0,packages/richtext-*,uncertain,,,unknown,no,yes,Key Directories,18,"  13|   - `packages/ui` - Admin UI components (React Server Components)
  14|   - `packages/next` - Next.js integration layer
  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations"
DC023,payloadcms/payload,CLAUDE.md,packages/storage-*,packages/storage-*,code_span,medium,stale,existed_before,stale_path,not_in_head,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,a8c8da8df42f37ffc6a6b647ef9d3c8116a4717a,2026-06-09,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,0,packages/storage-*,uncertain,,,unknown,no,yes,Key Directories,19,"  14|   - `packages/next` - Next.js integration layer
  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files"
DC024,payloadcms/payload,CLAUDE.md,packages/storage-*,packages/storage-*,explicit_path,medium,stale,existed_before,stale_path,not_in_head,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,a8c8da8df42f37ffc6a6b647ef9d3c8116a4717a,2026-06-09,6690769b9f736fb37a98661baa8b7a4a702b42c2,2026-04-10,0,packages/storage-*,uncertain,,,unknown,no,yes,Key Directories,19,"  14|   - `packages/next` - Next.js integration layer
  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files"
DC025,payloadcms/payload,CLAUDE.md,packages/email-*,packages/email-*,code_span,medium,stale,existed_before,stale_path,not_in_head,f494ebabbffbff0b2b98bbd4b1620f712b6f2e96,2024-07-15,a8c8da8df42f37ffc6a6b647ef9d3c8116a4717a,2026-06-09,e50d811f25ee299529e99ff8d6f9f3b4da8e559d,2026-01-06,540,packages/email-*,uncertain,,,unknown,no,yes,Key Directories,20,"  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files
  25| - `docs/` - Documentation (deployed to payloadcms.com)"
DC026,payloadcms/payload,CLAUDE.md,packages/email-*,packages/email-*,explicit_path,medium,stale,existed_before,stale_path,not_in_head,f494ebabbffbff0b2b98bbd4b1620f712b6f2e96,2024-07-15,a8c8da8df42f37ffc6a6b647ef9d3c8116a4717a,2026-06-09,e50d811f25ee299529e99ff8d6f9f3b4da8e559d,2026-01-06,540,packages/email-*,uncertain,,,unknown,no,yes,Key Directories,20,"  15|   - `packages/db-*` - Database adapters (MongoDB, Postgres, SQLite, Vercel Postgres, D1 SQLite)
  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files
  25| - `docs/` - Documentation (deployed to payloadcms.com)"
DC027,payloadcms/payload,CLAUDE.md,packages/plugin-*,packages/plugin-*,code_span,medium,stale,existed_before,stale_path,not_in_head,0a840997e88ec545dc0ed4a4db25f3b0543bdc57,2026-06-11,dc41f9fb79277c2afa073736c7a68caf7bdaf4eb,2026-06-11,19342ed0ac2642747de1e5ed3eb59af012cd81d8,2026-06-10,0,packages/plugin-*,uncertain,,,unknown,no,yes,Key Directories,21,"  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files
  25| - `docs/` - Documentation (deployed to payloadcms.com)
  26| - `tools/` - Monorepo tooling"
DC028,payloadcms/payload,CLAUDE.md,packages/plugin-*,packages/plugin-*,explicit_path,medium,stale,existed_before,stale_path,not_in_head,0a840997e88ec545dc0ed4a4db25f3b0543bdc57,2026-06-11,dc41f9fb79277c2afa073736c7a68caf7bdaf4eb,2026-06-11,19342ed0ac2642747de1e5ed3eb59af012cd81d8,2026-06-10,0,packages/plugin-*,uncertain,,,unknown,no,yes,Key Directories,21,"  16|   - `packages/drizzle` - Drizzle ORM integration
  17|   - `packages/kv-redis` - Redis key-value store adapter
  18|   - `packages/richtext-*` - Rich text editors (Lexical)
  19|   - `packages/storage-*` - Storage adapters (S3, Azure, GCS, Uploadthing, Vercel Blob, R2)
  20|   - `packages/email-*` - Email adapters (Nodemailer, Resend)
  21|   - `packages/plugin-*` - Additional functionality plugins
  22|   - `packages/graphql` - GraphQL API layer
  23|   - `packages/translations` - i18n translations
  24| - `test/` - Test suites organized by feature area. Each directory contains a granular Payload config and test files
  25| - `docs/` - Documentation (deployed to payloadcms.com)
  26| - `tools/` - Monorepo tooling"
DC029,payloadcms/payload,CLAUDE.md,src/,src/,scope_section:code_span,medium,stale,existed_before,stale_directory,not_in_head,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,src/,reliable,,,deleted_directory,yes,no,Architecture Notes,36,"  31| 
  32| - Payload 3.x is built as a Next.js native CMS that installs directly in `/app` folder
  33| - UI is built with React Server Components (RSC)
  34| - Database adapters use Drizzle ORM under the hood
  35| - Packages use TypeScript with strict mode and path mappings defined in `tsconfig.base.json`
  36| - Source files are in `src/`, compiled outputs go to `dist/`
  37| - Monorepo uses pnpm workspaces and Turbo for builds
  38| 
  39| ## Quick Start
  40| 
  41| 1. `pnpm install`"
DC030,payloadcms/payload,CLAUDE.md,src,src/,common_directory_name,medium,stale,existed_before,stale_directory,not_in_head,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,a6524720f55577536dd363679d887a24c45d844c,2025-03-10,54a76e1401630266cfe6efeab5ffd1bdc12a7ff0,2023-09-18,0,src,reliable,,,deleted_directory,yes,maybe,Architecture Notes,36,"  31| 
  32| - Payload 3.x is built as a Next.js native CMS that installs directly in `/app` folder
  33| - UI is built with React Server Components (RSC)
  34| - Database adapters use Drizzle ORM under the hood
  35| - Packages use TypeScript with strict mode and path mappings defined in `tsconfig.base.json`
  36| - Source files are in `src/`, compiled outputs go to `dist/`
  37| - Monorepo uses pnpm workspaces and Turbo for builds
  38| 
  39| ## Quick Start
  40| 
  41| 1. `pnpm install`"
DC031,payloadcms/payload,CLAUDE.md,dev,dev/,common_directory_name,medium,stale,existed_before,stale_directory,not_in_head,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,dev,reliable,,,deleted_directory,yes,maybe,Quick Start,43,"  38| 
  39| ## Quick Start
  40| 
  41| 1. `pnpm install`
  42| 2. `pnpm run build:core`
  43| 3. `pnpm run dev` (MongoDB) or `pnpm run dev:postgres`
  44| 
  45| ## Build Commands
  46| 
  47| - `pnpm install` - Install all dependencies
  48| - `pnpm turbo` - All Turbo commands should be run from root with pnpm - not with `turbo` directly"
DC032,payloadcms/payload,CLAUDE.md,.scss,scss,code_span,medium,stale,existed_before,stale_path,not_in_head,929b21d68b9d4504adf2d46ccca74d8da5595179,2021-07-01,a67278b29ff6c60750c8de331e3cac5a9e4bbae0,2023-08-23,a67278b29ff6c60750c8de331e3cac5a9e4bbae0,2023-08-23,782,scss,reliable,,,unknown,yes,no,React Component File Structure,100,"  95| Each React component should have its own named folder:
  96| 
  97| ```
  98| ComponentName/
  99| ├── index.tsx       # Component implementation
 100| └── index.scss      # Styles (if applicable)
 101| ```
 102| 
 103| - **Do:** Create a folder per component with `index.tsx` and `index.scss`
 104| - **Don't:** Place multiple `ComponentName.tsx` files in a single folder with one shared `.scss` file
 105| - Re-export from barrel files (`index.ts`) when grouping related components in a parent directory"
DC033,payloadcms/payload,CLAUDE.md,payload/shared,payload/shared,explicit_path,medium,stale,existed_before,stale_path,not_in_head,,,,,,,,,failed,,,unknown,no,no,Patterns,294," 289| ```
 290| 
 291| Correct:
 292| 
 293| ```typescript
 294| import { formatAdminURL } from 'payload/shared'
 295| import * as qs from 'qs-esm'
 296| 
 297| const where = parentId
 298|   ? { [parentFieldName]: { equals: parentId } }
 299|   : {"
DC034,payloadcms/payload,CLAUDE.md,payload/no-imports-from-exports-dir,payload/no-imports-from-exports-dir,explicit_path,medium,stale,existed_before,stale_path,not_in_head,,,,,,,,,failed,,,unknown,no,no,RSC/Client Bundling Rules,355," 350| ```typescript
 351| // BAD - relative import doesn't work in prod
 352| import { MyClientComponent } from './MyComponent.js'
 353| 
 354| // GOOD - import from client exports bundle
 355| // eslint-disable-next-line payload/no-imports-from-exports-dir -- Server component must reference exports dir for proper client boundary
 356| import { MyClientComponent } from '../../exports/client/index.js'
 357| ```
 358| 
 359| **Testing bundling changes:** Always test with `pnpm prepare-run-test-against-prod` followed by `pnpm dev:prod <suite>`. Dev mode (`pnpm dev`) doesn't catch these issues."
DC035,payloadcms/payload,CLAUDE.md,Dev,dev/,common_directory_name,medium,stale,existed_before,stale_directory,not_in_head,2f799a9420551b7999bc9f12f822fdb37042503b,2023-04-10,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,ac8bcfac237ea46f77bb1ee9abf3b1139d52ed41,2023-10-05,177,dev/,reliable,,,deleted_directory,yes,no,Development,53,"  48| - `pnpm turbo` - All Turbo commands should be run from root with pnpm - not with `turbo` directly
  49| - `pnpm run build` or `pnpm run build:core` - Build core packages (excludes plugins and storage adapters)
  50| - `pnpm run build:all` - Build all packages
  51| - `pnpm run build:<directory_name>` - Build specific package (e.g. `pnpm run build:db-mongodb`, `pnpm run build:ui`)
  52| 
  53| ## Development
  54| 
  55| ### Coding Patterns and Best Practices
  56| 
  57| - Always use object parameters for function arguments: `fn({ name }: { name: string })` not `fn(name: string)` (improves backwards-compatibility)
  58| - Prefer types over interfaces (except when extending external types)"
DC036,prefecthq/prefect,AGENTS.md,tests/path.py,tests/path.py,explicit_path,medium,stale,existed_before,stale_path,not_in_head,,,,,,,,,failed,,,source_code_reference,no,no,Testing (see tests/AGENTS.md for full details),49,"  44| uv run --project ./src/integrations/<name> <cmd>   # Run against a local integration from repo root
  45| prefect server start                               # Start local server
  46| prefect config view                                # Inspect current configuration
  47| 
  48| # Testing (see tests/AGENTS.md for full details)
  49| uv run pytest tests/path.py -k name    # Run specific test
  50| uv run pytest tests/path.py -x -n4     # Parallel, stop on first failure
  51| 
  52| # Linting & formatting
  53| uv run ruff check --fix .              # Lint with auto-fix
  54| uv run ruff format .                   # Format code"
DC037,grafana/grafana,CLAUDE.md,conf/custom.ini,conf/custom.ini,code_span,medium,stale,existed_before,stale_path,not_in_head,,,,,,,,,failed,,,config_reference,no,no,,,(reference string not found verbatim in instruction file at HEAD)
DC038,grafana/grafana,CLAUDE.md,conf/custom.ini,conf/custom.ini,explicit_path,medium,stale,existed_before,stale_path,not_in_head,,,,,,,,,failed,,,config_reference,no,no,,,(reference string not found verbatim in instruction file at HEAD)
